id,date,value
FL,2021-02-14,3467856
FL,2021-02-15,3490648
FL,2021-02-16,3598996
FL,2021-02-17,3702569
FL,2021-02-18,3819224
FL,2021-02-19,3911999
FL,2021-02-20,4205898
FL,2021-02-21,4387051
FL,2021-02-22,4390626
FL,2021-02-23,4406005
FL,2021-02-24,4502702
FL,2021-02-25,4605201
FL,2021-02-26,4704530
FL,2021-02-27,4822353
FL,2021-02-28,5044420
FL,2021-03-01,5047960
FL,2021-03-02,5077891
FL,2021-03-03,5167346
FL,2021-03-04,5314200
FL,2021-03-05,5448653
FL,2021-03-06,5688357
FL,2021-03-07,5900450
FL,2021-03-08,5904827
FL,2021-03-09,5961421
FL,2021-03-10,6070173
FL,2021-03-11,6332072
FL,2021-03-12,6613352
FL,2021-03-13,7007792
FL,2021-03-14,7108286
FL,2021-03-15,7116355
FL,2021-03-16,7197889
FL,2021-03-17,7332554
FL,2021-03-18,7522691
FL,2021-03-19,7684142
FL,2021-03-20,7977789
FL,2021-03-21,8186888
FL,2021-03-22,8191294
FL,2021-03-23,8250717
FM,2021-01-05,30
FM,2021-01-07,100
FM,2021-01-08,197
FM,2021-01-11,305
FM,2021-01-12,424
FM,2021-01-13,565
FM,2021-01-14,740
FM,2021-01-20,1756
FM,2021-01-21,2087
FM,2021-01-22,2514
FM,2021-01-23,2752
FM,2021-01-25,2758
FM,2021-01-26,2977
FM,2021-01-27,3241
FM,2021-01-28,3502
FM,2021-01-29,3965
FM,2021-02-01,5110
FM,2021-02-02,5726
FM,2021-02-03,6254
FM,2021-02-04,6699
FM,2021-02-05,7005
FM,2021-02-06,7335
FM,2021-02-07,7415
FM,2021-02-08,7449
FM,2021-02-09,7725
FM,2021-02-10,8017
FM,2021-02-11,8365
FM,2021-02-12,8751
FM,2021-02-13,9230
FM,2021-02-14,9415
FM,2021-02-16,9980
FM,2021-02-17,10603
FM,2021-02-18,11119
FM,2021-02-20,11590
FM,2021-02-21,12196
FM,2021-02-24,12999
FM,2021-02-25,13320
FM,2021-02-26,13819
FM,2021-02-27,14317
FM,2021-02-28,14715
FM,2021-03-01,15022
FM,2021-03-02,15705
FM,2021-03-03,16189
FM,2021-03-04,16578
FM,2021-03-05,17098
FM,2021-03-06,17624
FM,2021-03-07,17745
FM,2021-03-09,18133
FM,2021-03-10,18423
FM,2021-03-11,18689
FM,2021-03-12,19086
FM,2021-03-13,19580
FM,2021-03-14,19796
FM,2021-03-15,19841
FM,2021-03-16,20450
FM,2021-03-17,20882
FM,2021-03-19,21624
FM,2021-03-20,22129
FM,2021-03-21,22217
FM,2021-03-22,22255
FM,2021-03-23,22488
GA,2020-12-21,1258
GA,2020-12-22,17505
GA,2020-12-23,17870
GA,2020-12-24,26010
GA,2020-12-29,43469
GA,2020-12-30,61870
GA,2021-01-01,76742
GA,2021-01-05,94607
GA,2021-01-06,110548
GA,2021-01-07,123030
GA,2021-01-08,135605
GA,2021-01-09,167057
GA,2021-01-11,183870
GA,2021-01-12,206900
GA,2021-01-13,235541
GA,2021-01-14,283177
GA,2021-01-15,329506
GA,2021-01-16,371099
GA,2021-01-17,393970
GA,2021-01-18,402955
GA,2021-01-19,423011
GA,2021-01-20,484775
GA,2021-01-21,535920
GA,2021-01-22,603486
GA,2021-01-23,630984
GA,2021-01-24,651478
GA,2021-01-25,656501
GA,2021-01-26,674967
GA,2021-01-27,746274
GA,2021-01-28,791254
GA,2021-01-29,836518
GA,2021-01-30,887399
GA,2021-01-31,913936
GA,2021-02-01,930517
GA,2021-02-02,954786
GA,2021-02-03,984354
GA,2021-02-04,1030872
GA,2021-02-05,1073482
GA,2021-02-06,1122122
GA,2021-02-07,1146687
GA,2021-02-08,1167738
GA,2021-02-09,1199430
GA,2021-02-10,1248477
GA,2021-02-11,1301647
GA,2021-02-12,1353978
GA,2021-02-13,1408232
GA,2021-02-14,1437718
GA,2021-02-15,1446647
GA,2021-02-16,1491903
GA,2021-02-17,1541057
GA,2021-02-18,1606622
GA,2021-02-19,1668605
GA,2021-02-20,1786755
GA,2021-02-21,1850856
GA,2021-02-22,1873683
GA,2021-02-23,1880429
GA,2021-02-24,1919262
GA,2021-02-25,1961849
GA,2021-02-26,2013769
GA,2021-02-27,2070076
GA,2021-02-28,2072451
GA,2021-03-01,2072628
GA,2021-03-02,2085047
GA,2021-03-03,2133517
GA,2021-03-04,2187289
GA,2021-03-05,2253011
GA,2021-03-06,2308087
GA,2021-03-07,2366573
GA,2021-03-08,2391999
GA,2021-03-09,2406206
GA,2021-03-10,2408998
GA,2021-03-11,2483900
GA,2021-03-12,2598432
GA,2021-03-13,2681373
GA,2021-03-14,2754347
GA,2021-03-15,2790084
GA,2021-03-16,2810272
GA,2021-03-17,2814158
GA,2021-03-18,2906563
GA,2021-03-19,2910835
GA,2021-03-20,3113334
GA,2021-03-21,3207887
GA,2021-03-22,3280952
GA,2021-03-23,3281102
GU,2020-12-21,1394
GU,2020-12-26,2158
GU,2021-01-01,4241
GU,2021-01-04,4945
GU,2021-01-06,5020
GU,2021-01-07,5448
GU,2021-01-09,8256
GU,2021-01-10,10014
GU,2021-01-12,11149
GU,2021-01-13,11406
GU,2021-01-14,12637
GU,2021-01-15,13285
GU,2021-01-16,13913
GU,2021-01-19,14477
GU,2021-01-20,15460
GU,2021-01-21,16634
GU,2021-01-22,17620
GU,2021-01-25,19917
GU,2021-01-26,20900
GU,2021-01-27,22049
GU,2021-01-28,23588
GU,2021-01-29,25248
GU,2021-01-30,26846
GU,2021-01-31,28183
GU,2021-02-02,28427
GU,2021-02-03,29504
GU,2021-02-04,31882
GU,2021-02-05,32586
GU,2021-02-06,33623
GU,2021-02-07,35337
GU,2021-02-08,35395
GU,2021-02-09,35816
GU,2021-02-10,36874
GU,2021-02-11,38296
GU,2021-02-12,39203
GU,2021-02-13,40524
GU,2021-02-14,41672
GU,2021-02-16,41918
GU,2021-02-17,43254
GU,2021-02-18,44620
GU,2021-02-19,45766
GU,2021-02-20,48387
GU,2021-02-21,48479
GU,2021-02-22,49587
GU,2021-02-23,50500
GU,2021-02-24,51514
GU,2021-02-25,52661
GU,2021-02-26,52701
GU,2021-02-27,54244
